Date (UTC),Time (UTC),Latitude,Longitude,Heading,Speed (kn),Port
2022-07-26,00:02,51.23408,2.92326,9.2,0.3,"Ostend (Oostende), Belgium"
2022-07-26,00:08,51.23412,2.92325,351.7,0.1,"Ostend (Oostende), Belgium"
2022-07-26,00:13,51.23414,2.92324,20.9,0.0,"Ostend (Oostende), Belgium"
2022-07-26,00:17,51.23416,2.92321,344.9,0.0,"Ostend (Oostende), Belgium"
2022-07-26,00:24,51.23413,2.92322,344.9,0.0,"Ostend (Oostende), Belgium"
2022-07-26,00:27,51.23414,2.92321,344.9,0.0,"Ostend (Oostende), Belgium"
2022-07-26,00:33,51.23413,2.92323,65.8,0.0,"Ostend (Oostende), Belgium"
2022-07-26,00:39,51.23414,2.92323,120.0,0.0,"Ostend (Oostende), Belgium"
2022-07-26,00:44,51.23412,2.92323,284.5,0.0,"Ostend (Oostende), Belgium"
2022-07-26,00:48,51.23415,2.92324,8.2,0.0,"Ostend (Oostende), Belgium"
2022-07-26,00:54,51.23413,2.92322,8.2,0.0,"Ostend (Oostende), Belgium"
2022-07-26,00:59,51.23412,2.92324,215.4,0.0,"Ostend (Oostende), Belgium"
2022-07-26,01:03,51.23416,2.92324,215.4,0.0,"Ostend (Oostende), Belgium"
2022-07-26,01:07,51.23417,2.92326,344.8,0.0,"Ostend (Oostende), Belgium"
2022-07-26,01:13,51.23414,2.92325,290.2,0.0,"Ostend (Oostende), Belgium"
2022-07-26,01:19,51.23413,2.92326,290.2,0.2,"Ostend (Oostende), Belgium"
2022-07-26,01:22,51.23412,2.92328,290.2,0.1,"Ostend (Oostende), Belgium"
2022-07-26,01:28,51.23413,2.92325,290.2,0.1,"Ostend (Oostende), Belgium"
2022-07-26,01:34,51.23412,2.92324,174.0,0.1,"Ostend (Oostende), Belgium"
2022-07-26,01:36,51.23412,2.92324,174.0,0.0,"Ostend (Oostende), Belgium"
2022-07-26,01:43,51.23412,2.92324,349.8,0.0,"Ostend (Oostende), Belgium"
2022-07-26,01:43,51.23412,2.92324,349.8,0.0,"Ostend (Oostende), Belgium"
2022-07-26,01:52,51.23413,2.92326,9.8,0.0,"Ostend (Oostende), Belgium"
2022-07-26,01:55,51.23413,2.92324,287.5,0.1,"Ostend (Oostende), Belgium"
2022-07-26,02:02,51.23415,2.92321,184.4,0.2,"Ostend (Oostende), Belgium"
2022-07-26,02:08,51.23412,2.92321,180.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,02:11,51.2341,2.92322,180.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,02:17,51.2341,2.92324,180.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,02:23,51.23411,2.92323,180.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,02:26,51.23412,2.92324,180.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,02:32,51.23413,2.92322,288.2,0.0,"Ostend (Oostende), Belgium"
2022-07-26,02:38,51.2341,2.92328,288.2,0.0,"Ostend (Oostende), Belgium"
2022-07-26,02:41,51.23408,2.92333,288.2,0.0,"Ostend (Oostende), Belgium"
2022-07-26,02:47,51.23409,2.92324,288.2,0.0,"Ostend (Oostende), Belgium"
2022-07-26,02:53,51.23409,2.92326,93.6,0.2,"Ostend (Oostende), Belgium"
2022-07-26,02:59,51.23409,2.92319,93.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,03:04,51.23412,2.92318,297.2,0.1,"Ostend (Oostende), Belgium"
2022-07-26,03:07,51.23411,2.92322,297.2,0.0,"Ostend (Oostende), Belgium"
2022-07-26,03:13,51.2341,2.92324,296.3,0.2,"Ostend (Oostende), Belgium"
2022-07-26,03:19,51.23413,2.92334,312.8,0.3,"Ostend (Oostende), Belgium"
2022-07-26,03:24,51.2341,2.92342,18.4,0.9,"Ostend (Oostende), Belgium"
2022-07-26,03:29,51.23403,2.92388,102.3,4.4,"Ostend (Oostende), Belgium"
2022-07-26,03:34,51.23404,2.92329,131.1,0.1,"Ostend (Oostende), Belgium"
2022-07-26,03:37,51.23413,2.92325,131.1,0.0,"Ostend (Oostende), Belgium"
2022-07-26,03:44,51.23411,2.92321,8.4,0.0,"Ostend (Oostende), Belgium"
2022-07-26,03:49,51.2341,2.9232,233.9,0.6,"Ostend (Oostende), Belgium"
2022-07-26,03:54,51.23405,2.92317,299.3,0.3,"Ostend (Oostende), Belgium"
2022-07-26,03:57,51.23406,2.92318,299.3,0.0,"Ostend (Oostende), Belgium"
2022-07-26,04:03,51.23409,2.9232,299.3,0.4,"Ostend (Oostende), Belgium"
2022-07-26,04:09,51.23408,2.92318,40.9,0.0,"Ostend (Oostende), Belgium"
2022-07-26,04:12,51.2341,2.92318,40.9,0.1,"Ostend (Oostende), Belgium"
2022-07-26,04:19,51.23409,2.92318,207.0,0.2,"Ostend (Oostende), Belgium"
2022-07-26,04:24,51.2341,2.9232,100.8,0.0,"Ostend (Oostende), Belgium"
2022-07-26,04:27,51.23412,2.92319,5.1,0.2,"Ostend (Oostende), Belgium"
2022-07-26,04:33,51.23406,2.92321,195.0,0.1,"Ostend (Oostende), Belgium"
2022-07-26,04:39,51.23411,2.9232,166.8,0.4,"Ostend (Oostende), Belgium"
2022-07-26,04:44,51.2341,2.92321,17.7,0.3,"Ostend (Oostende), Belgium"
2022-07-26,04:47,51.2341,2.92322,17.7,0.1,"Ostend (Oostende), Belgium"
2022-07-26,04:53,51.23409,2.92323,17.7,0.1,"Ostend (Oostende), Belgium"
2022-07-26,04:59,51.23412,2.92325,17.7,0.0,"Ostend (Oostende), Belgium"
2022-07-26,05:02,51.2341,2.92323,326.3,0.0,"Ostend (Oostende), Belgium"
2022-07-26,05:02,51.2341,2.92323,326.3,0.0,"Ostend (Oostende), Belgium"
2022-07-26,05:14,51.23414,2.92324,4.1,0.3,"Ostend (Oostende), Belgium"
2022-07-26,05:18,51.23414,2.92323,24.5,0.0,"Ostend (Oostende), Belgium"
2022-07-26,05:24,51.23414,2.92324,135.0,0.0,"Ostend (Oostende), Belgium"
2022-07-26,05:27,51.23415,2.92327,135.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,05:33,51.23417,2.92323,357.3,0.2,"Ostend (Oostende), Belgium"
2022-07-26,05:40,51.2341,2.9232,12.8,0.0,"Ostend (Oostende), Belgium"
2022-07-26,05:43,51.23412,2.92321,12.8,0.0,"Ostend (Oostende), Belgium"
2022-07-26,05:49,51.23413,2.92316,12.6,0.1,"Ostend (Oostende), Belgium"
2022-07-26,05:52,51.23413,2.92319,52.7,0.0,"Ostend (Oostende), Belgium"
2022-07-26,05:58,51.23413,2.92315,12.6,0.4,"Ostend (Oostende), Belgium"
2022-07-26,06:04,51.23412,2.92322,334.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,06:07,51.23417,2.92324,334.6,0.5,"Ostend (Oostende), Belgium"
2022-07-26,06:13,51.23422,2.92324,324.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,06:19,51.2342,2.9232,272.5,0.0,"Ostend (Oostende), Belgium"
2022-07-26,06:22,51.2342,2.92322,102.6,0.0,"Ostend (Oostende), Belgium"
2022-07-26,06:28,51.23425,2.92327,178.8,0.0,"Ostend (Oostende), Belgium"
2022-07-26,06:34,51.23419,2.92328,183.1,0.8,"Ostend (Oostende), Belgium"
2022-07-26,06:37,51.23413,2.92325,234.5,0.4,"Ostend (Oostende), Belgium"
2022-07-26,06:44,51.23415,2.92325,3.9,0.3,"Ostend (Oostende), Belgium"
2022-07-26,06:47,51.23403,2.92326,12.2,0.0,"Ostend (Oostende), Belgium"
2022-07-26,06:54,51.23393,2.92327,352.1,0.3,"Ostend (Oostende), Belgium"
2022-07-26,06:59,51.23398,2.92329,214.6,0.2,"Ostend (Oostende), Belgium"
2022-07-26,07:04,51.23388,2.9233,265.0,0.1,"Ostend (Oostende), Belgium"
2022-07-26,07:06,51.23388,2.9233,28.8,0.4,"Ostend (Oostende), Belgium"
2022-07-26,07:14,51.23408,2.92325,12.8,0.2,"Ostend (Oostende), Belgium"
2022-07-26,07:19,51.23409,2.92322,56.6,0.4,"Ostend (Oostende), Belgium"
2022-07-26,07:23,51.23414,2.92315,344.3,0.2,"Ostend (Oostende), Belgium"
2022-07-26,07:29,51.23412,2.9232,26.3,0.2,"Ostend (Oostende), Belgium"
2022-07-26,07:33,51.23412,2.92321,313.0,0.4,"Ostend (Oostende), Belgium"
2022-07-26,07:40,51.23411,2.92324,345.2,0.4,"Ostend (Oostende), Belgium"
2022-07-26,07:45,51.2341,2.92322,282.5,0.0,"Ostend (Oostende), Belgium"
2022-07-26,07:49,51.23412,2.92322,282.5,0.1,"Ostend (Oostende), Belgium"
2022-07-26,07:52,51.23412,2.92323,141.0,0.0,"Ostend (Oostende), Belgium"
2022-07-26,07:59,51.23406,2.92321,235.0,0.1,"Ostend (Oostende), Belgium"
2022-07-26,08:04,51.2341,2.92321,21.7,0.0,"Ostend (Oostende), Belgium"
2022-07-26,08:10,51.23413,2.92315,248.0,0.7,"Ostend (Oostende), Belgium"
2022-07-26,08:14,51.2331,2.92305,167.9,0.1,"Ostend (Oostende), Belgium"
2022-07-26,08:20,51.23387,2.92351,78.1,0.7,"Ostend (Oostende), Belgium"
2022-07-26,08:25,51.23341,2.92285,172.9,0.1,"Ostend (Oostende), Belgium"
2022-07-26,08:30,51.2373,2.92218,326.7,4.5,"Ostend (Oostende), Belgium"
2022-07-26,09:29,51.22718,2.80469,273.3,6.0,"Ostend (Oostende), Belgium"
2022-07-26,09:35,51.22725,2.78971,267.2,5.8,"Ostend (Oostende), Belgium"
2022-07-26,09:39,51.22702,2.77965,268.6,5.5,"Ostend (Oostende), Belgium"
2022-07-26,09:43,51.22742,2.76615,263.7,5.8,"Ostend (Oostende), Belgium"
2022-07-26,09:49,51.22743,2.75153,273.6,5.5,"Ostend (Oostende), Belgium"
2022-07-26,09:53,51.22736,2.7405,259.0,6.1,"Ostend (Oostende), Belgium"
2022-07-26,09:59,51.22658,2.72797,268.3,4.1,"Ostend (Oostende), Belgium"
2022-07-26,10:04,51.22584,2.71689,259.8,5.1,"Ostend (Oostende), Belgium"
2022-07-26,10:07,51.22619,2.70812,266.7,8.2,"Ostend (Oostende), Belgium"
2022-07-26,10:13,51.22518,2.69187,266.0,4.7,"Ostend (Oostende), Belgium"
2022-07-26,10:19,51.22478,2.67763,267.0,5.4,"Ostend (Oostende), Belgium"
2022-07-26,10:23,51.22463,2.66877,269.3,4.8,"Ostend (Oostende), Belgium"
2022-07-26,10:28,51.22457,2.65798,269.8,4.5,"Ostend (Oostende), Belgium"
2022-07-26,10:33,51.22439,2.64783,269.8,5.2,"Ostend (Oostende), Belgium"
2022-07-26,10:38,51.2245,2.63845,269.6,5.2,"Ostend (Oostende), Belgium"
2022-07-26,10:43,51.22478,2.62366,270.9,5.5,"Ostend (Oostende), Belgium"
2022-07-26,10:48,51.22437,2.61268,252.3,5.0,"Ostend (Oostende), Belgium"
2022-07-26,10:53,51.22357,2.60178,271.1,4.5,"Ostend (Oostende), Belgium"
2022-07-26,10:57,51.2238,2.59296,270.7,4.7,"Ostend (Oostende), Belgium"
2022-07-26,11:04,51.22586,2.56739,272.3,5.0,"Ostend (Oostende), Belgium"
2022-07-26,11:07,51.22498,2.57198,284.4,4.1,"Ostend (Oostende), Belgium"
2022-07-26,11:12,51.22589,2.56182,282.4,4.5,"Ostend (Oostende), Belgium"
2022-07-26,11:18,51.22712,2.54859,276.6,6.4,"Ostend (Oostende), Belgium"
2022-07-26,11:23,51.2283,2.53335,270.4,7.2,
2022-07-26,11:28,51.22842,2.51941,270.0,6.4,"Ostend (Oostende), Belgium"
2022-07-26,11:31,51.22857,2.51194,272.8,6.3,"Ostend (Oostende), Belgium"
2022-07-26,11:38,51.22888,2.49495,254.1,5.1,"Ostend (Oostende), Belgium"
2022-07-26,11:43,51.22809,2.48277,265.5,5.8,"Ostend (Oostende), Belgium"
2022-07-26,11:46,51.22775,2.47367,264.1,5.8,"Ostend (Oostende), Belgium"
2022-07-26,11:53,51.2267,2.45599,262.1,5.2,"Ostend (Oostende), Belgium"
2022-07-26,11:55,51.22647,2.4509,264.5,5.3,"Ostend (Oostende), Belgium"
2022-07-26,11:56,51.22645,2.44978,263.0,5.5,"Ostend (Oostende), Belgium"
2022-07-26,11:59,51.22657,2.44463,267.1,6.0,"Ostend (Oostende), Belgium"
2022-07-26,12:05,51.22697,2.42493,272.0,5.5,"Ostend (Oostende), Belgium"
2022-07-26,12:05,51.22697,2.42493,272.0,5.5,"Ostend (Oostende), Belgium"
2022-07-26,12:11,51.22731,2.41306,281.1,5.1,"Ostend (Oostende), Belgium"
2022-07-26,12:11,51.22731,2.41306,281.1,5.1,"Ostend (Oostende), Belgium"
2022-07-26,12:11,51.22731,2.41306,281.1,5.1,"Ostend (Oostende), Belgium"
2022-07-26,12:11,51.22731,2.41306,281.1,5.1,"Ostend (Oostende), Belgium"
2022-07-26,12:28,51.23054,2.36657,279.9,6.8,"Ostend (Oostende), Belgium"
2022-07-26,12:42,51.22935,2.33079,269.3,5.6,"Ostend (Oostende), Belgium"
2022-07-26,12:51,51.22947,2.3069,290.3,5.4,"Ostend (Oostende), Belgium"
2022-07-26,12:51,51.22947,2.3069,290.3,5.4,"Ostend (Oostende), Belgium"
2022-07-26,12:51,51.22947,2.3069,290.3,5.4,"Ostend (Oostende), Belgium"
2022-07-26,12:51,51.22947,2.3069,290.3,5.4,"Ostend (Oostende), Belgium"
2022-07-26,13:06,51.23668,2.27366,254.9,5.5,"Ostend (Oostende), Belgium"
2022-07-26,13:06,51.23668,2.27366,254.9,5.5,"Ostend (Oostende), Belgium"
2022-07-26,13:06,51.23668,2.27366,254.9,5.5,
2022-07-26,13:07,51.23669,2.27266,280.5,5.1,"Ostend (Oostende), Belgium"
2022-07-26,13:22,51.23859,2.235,265.6,5.1,"Ostend (Oostende), Belgium"
2022-07-26,13:22,51.23859,2.235,265.6,5.1,"Ostend (Oostende), Belgium"
2022-07-26,13:22,51.23859,2.235,265.6,5.1,"Ostend (Oostende), Belgium"
2022-07-26,13:39,51.24032,2.192,276.3,6.2,"Ostend (Oostende), Belgium"
2022-07-26,13:39,51.24032,2.192,276.3,6.2,"Ostend (Oostende), Belgium"
2022-07-26,13:45,51.24374,2.17631,280.9,5.4,"Ostend (Oostende), Belgium"
2022-07-26,13:45,51.24374,2.17631,280.9,5.4,"Ostend (Oostende), Belgium"
2022-07-26,13:45,51.24374,2.17631,280.9,5.4,"Ostend (Oostende), Belgium"
2022-07-26,14:08,51.25522,2.11887,289.7,5.9,"Ostend (Oostende), Belgium"
2022-07-26,14:15,51.26018,2.10055,307.0,6.5,"Ostend (Oostende), Belgium"
2022-07-26,14:15,51.26018,2.10055,307.0,6.5,"Ostend (Oostende), Belgium"
2022-07-26,14:15,51.26018,2.10055,307.0,6.5,"Ostend (Oostende), Belgium"
2022-07-26,14:23,51.26462,2.08499,304.2,6.1,"Ostend (Oostende), Belgium"
2022-07-26,14:24,51.26462,2.08499,304.2,6.1,"Ostend (Oostende), Belgium"
2022-07-26,14:24,51.26462,2.08499,304.2,6.1,"Ostend (Oostende), Belgium"
2022-07-26,14:24,51.26462,2.08499,304.2,6.1,"Ostend (Oostende), Belgium"
2022-07-26,14:39,51.27212,2.04303,289.7,6.0,"Ostend (Oostende), Belgium"
2022-07-26,14:54,51.28254,2.00834,318.5,5.4,"Ostend (Oostende), Belgium"
2022-07-26,14:54,51.28254,2.00834,318.5,5.4,"Ostend (Oostende), Belgium"
2022-07-26,15:09,51.29641,1.97784,303.2,5.7,"Ostend (Oostende), Belgium"
2022-07-26,15:13,51.3,1.96888,290.6,4.6,"Ostend (Oostende), Belgium"
2022-07-26,15:20,51.30481,1.95228,302.6,6.3,"Ostend (Oostende), Belgium"
2022-07-26,15:22,51.3063,1.94713,287.3,5.6,"Ostend (Oostende), Belgium"
2022-07-26,15:29,51.31131,1.92938,300.2,5.4,"Ostend (Oostende), Belgium"
2022-07-26,15:35,51.31501,1.91642,294.9,6.7,"Ostend (Oostende), Belgium"
2022-07-26,15:39,51.31768,1.90689,288.4,5.9,"Ostend (Oostende), Belgium"
2022-07-26,15:45,51.3215,1.89308,291.2,6.7,"Ostend (Oostende), Belgium"
