Date (UTC),Time (UTC),Latitude,Longitude,Heading,Speed (kn),Port
2022-07-15,21:57,51.72775,3.91365,17.6,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:03,51.72773,3.91364,17.6,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:09,51.72774,3.91364,17.6,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:12,51.72774,3.91364,17.6,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:15,51.72774,3.91364,17.6,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:24,51.72773,3.91363,104.4,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:27,51.72774,3.91364,104.4,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:30,51.72774,3.91363,104.4,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:39,51.72775,3.91363,104.4,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:42,51.72774,3.91363,104.4,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:48,51.72774,3.91364,84.4,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:54,51.72775,3.91365,84.4,0.0,"Brouwershaven, Netherlands"
2022-07-15,22:57,51.72775,3.91365,84.4,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:03,51.72776,3.91363,84.4,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:09,51.72773,3.91362,54.0,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:12,51.72776,3.91363,15.2,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:18,51.72774,3.91364,8.7,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:24,51.72774,3.91363,8.7,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:27,51.72776,3.91364,8.7,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:27,51.72776,3.91364,8.7,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:39,51.72775,3.91362,13.8,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:39,51.72775,3.91362,13.8,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:48,51.72775,3.91362,256.9,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:54,51.72774,3.91363,256.9,0.0,"Brouwershaven, Netherlands"
2022-07-15,23:54,51.72774,3.91363,256.9,0.0,"Brouwershaven, Netherlands"
2022-07-16,00:03,51.72775,3.91364,256.9,0.0,"Brouwershaven, Netherlands"
2022-07-16,00:06,51.72775,3.91364,256.9,0.0,"Brouwershaven, Netherlands"
2022-07-16,00:15,51.72774,3.91362,256.9,0.0,"Brouwershaven, Netherlands"
2022-07-16,00:18,51.72775,3.91362,256.9,0.0,"Brouwershaven, Netherlands"
2022-07-16,00:24,51.72774,3.91362,217.2,0.0,"Brouwershaven, Netherlands"
