Date,Time,Latitude,Longitude,Heading,Speed (kn),WindAngle,WindSpeed,WindTemperature
2023-08-12,11:25,51.7590217,3.8809204,-1,0.0,0,0,0
2023-08-12,11:25,51.7590217,3.8809204,-1,5.0,0,0,0
2023-08-12,11:25,51.7595530,3.8781738,-1,5.0,0,0,0
2023-08-12,11:25,51.7582779,3.8752556,-1,5.0,0,0,0
2023-08-12,11:25,51.7549839,3.8798904,-1,5.0,0,0,0
2023-08-12,11:25,51.7492454,3.9010048,-1,5.0,0,0,0
2023-08-12,11:25,51.7398921,3.9298439,-1,5.0,0,0,0
2023-08-12,11:25,51.7365967,3.9478683,-1,5.0,0,0,0
2023-08-12,11:25,51.7363841,3.9662361,-1,5.0,0,0,0
2023-08-12,11:25,51.7328758,3.9832306,-1,5.0,0,0,0
2023-08-12,11:25,51.7234128,3.9923286,-1,5.0,0,0,0
2023-08-12,11:25,51.7089487,4.0110397,-1,5.0,0,0,0
2023-08-12,11:25,51.6978847,4.0209961,-1,5.0,0,0,0
2023-08-12,11:25,51.6862860,4.0500069,-1,5.0,0,0,0
2023-08-12,11:25,51.6810709,4.0704346,-1,5.0,0,0,0
2023-08-12,11:25,51.6734068,4.0869141,-1,5.0,0,0,0
2023-08-12,11:25,51.6668061,4.1009903,-1,5.0,0,0,0
2023-08-12,11:25,51.6607369,4.1056252,-1,5.0,0,0,0
2023-08-12,11:25,51.6590331,4.1111183,-1,5.0,0,0,0
2023-08-12,11:25,51.6599915,4.1207743,-1,5.0,0,0,0
2023-08-12,11:25,51.6622011,4.1286707,-1,5.0,0,0,0
2023-08-12,11:25,51.6653155,4.1403008,-1,5.0,0,0,0
2023-08-12,11:25,51.6667263,4.1475964,-1,5.0,0,0,0
2023-08-12,11:25,51.6667795,4.1536903,-1,5.0,0,0,0
2023-08-12,11:25,51.6649961,4.1555357,-1,5.0,0,0,0
2023-08-12,11:25,51.6650493,4.1651917,-1,5.0,0,0,0
2023-08-12,11:25,51.6656349,4.1673803,-1,5.0,0,0,0
2023-08-12,11:25,51.6657946,4.1781092,-1,5.0,0,0,0
2023-08-12,11:25,51.66581,4.17133,90,4.9,225,9,17
2023-08-12,11:29,51.66588,4.178808,96,3.2,225,9,17
2023-08-12,11:34,51.66545,4.181318,316,4.2,225,9,17
2023-08-12,11:38,51.66569,4.18225,109,5.5,225,9,17
2023-08-12,11:45,51.6598,4.196543,125,5.2,225,9,17
2023-08-12,11:51,51.65439,4.20809,113,5.1,225,9,17
2023-08-12,11:55,51.65135,4.22013,108,6.0,225,9,17
2023-08-12,11:57,51.65059,4.225363,94,6.0,225,9,17
2023-08-12,12:04,51.64864,4.242167,97,5.8,225,9,17
2023-08-12,12:11,51.64672,4.260302,75,6.3,225,9,17
2023-08-12,12:15,51.64845,4.268425,72,5.5,225,9,17
2023-08-12,12:20,51.65111,4.279117,71,5.8,225,9,17
2023-08-12,12:25,51.65448,4.293098,77,5.5,224,8,17
2023-08-12,12:31,51.65722,4.307142,74,5.6,224,8,17
2023-08-12,12:34,51.65845,4.314466,79,5.6,224,8,17
2023-08-12,12:41,51.66109,4.331069,74,5.5,224,8,17
2023-08-12,12:46,51.66315,4.340199,70,5.4,224,8,17
2023-08-12,12:49,51.66538,4.349198,66,5.1,224,8,17
2023-08-12,12:55,51.66979,4.360239,49,5.3,224,8,17
2023-08-12,13:00,51.67451,4.36699,39,3.2,224,8,17
2023-08-12,13:05,51.67751,4.370965,40,3.3,224,8,17
2023-08-12,13:11,51.68373,4.378895,32,4.9,224,8,17
2023-08-12,13:15,51.68741,4.383905,41,4.7,224,8,17
2023-08-12,13:20,51.691,4.391538,74,4.4,224,8,17
2023-08-12,13:25,51.69269,4.398677,64,4.5,272,10,19
2023-08-12,13:28,51.69415,4.401185,75,0.2,272,10,19
2023-08-12,13:28,51.69415,4.401185,75,0.2,272,10,19
2023-08-12,13:41,51.69903,4.40691,47,4.2,272,10,19
2023-08-12,13:45,51.70101,4.416732,79,5.0,272,10,19
2023-08-12,13:51,51.70202,4.428702,97,4.8,272,10,19
2023-08-12,13:55,51.69903,4.435495,116,4.7,272,10,19
2023-08-12,13:59,51.69635,4.443875,123,4.0,272,10,19
2023-08-12,14:04,51.69553,4.441715,0,0.0,272,10,19
2023-08-12,14:07,51.69553,4.441751,19,0.4,272,10,19
2023-08-12,14:15,51.69551,4.441975,65,2.2,272,10,19
2023-08-12,14:19,51.69675,4.446363,294,1.1,272,10,19
2023-08-12,14:25,51.69524,4.453555,104,5.7,272,10,19
2023-08-12,14:31,51.69291,4.468632,101,5.2,272,10,19
2023-08-12,11:27,0.0,0.0,,0.0,0,0,0
2023-08-12,14:41,51.69158,4.490557,92,5.0,272,10,19
2023-08-12,14:44,51.69138,4.497997,92,4.2,272,10,19
