Date,Time,Latitude,Longitude,Heading,Speed (kn),WindAngle,WindSpeed,WindTemperature
2023-08-07,10:59,51.39849,3.116747,2,6.7,302,17,14
2023-08-07,11:02,51.40305,3.116387,7,6.6,302,17,14
2023-08-07,11:08,51.41195,3.120345,21,5.4,302,17,14
2023-08-07,11:13,51.41781,3.126183,50,4.0,302,17,14
2023-08-07,11:19,51.42353,3.136832,21,5.8,295,14,15
2023-08-07,11:25,51.42954,3.14442,30,4.9,295,14,15
2023-08-07,11:29,51.43481,3.14957,24,5.9,295,14,15
2023-08-07,11:35,51.44003,3.159428,56,5.2,295,14,15
2023-08-07,11:39,51.44373,3.168438,60,6.1,295,14,15
2023-08-07,11:45,51.44714,3.181925,75,4.2,295,14,15
2023-08-07,11:49,51.44955,3.189088,51,4.7,295,14,15
2023-08-07,11:55,51.45541,3.201377,67,5.5,295,14,15
2023-08-07,11:59,51.45871,3.209707,43,5.0,295,14,15
2023-08-07,12:05,51.46408,3.21972,34,5.7,295,14,15
2023-08-07,12:09,51.4685,3.226283,42,4.9,295,14,15
2023-08-07,12:15,51.47507,3.236505,34,5.9,295,14,15
2023-08-07,12:19,51.47931,3.243173,11,7.0,292,15,15
2023-08-07,12:24,51.48479,3.251042,38,6.9,292,15,15
2023-08-07,12:31,51.49327,3.263313,50,4.0,292,15,15
2023-08-07,12:34,51.49671,3.268167,46,5.1,292,15,15
2023-08-07,12:40,51.50307,3.277487,38,5.8,292,15,15
2023-08-07,12:45,51.5085,3.284518,43,5.6,292,15,15
2023-08-07,12:51,51.51496,3.293347,32,5.4,292,15,15
2023-08-07,12:55,51.51949,3.29951,31,6.3,292,15,15
2023-08-07,12:59,51.52399,3.306505,51,5.4,292,15,15
2023-08-07,13:04,51.52896,3.315702,49,5.8,292,15,15
2023-08-07,13:11,51.53413,3.32881,50,6.3,292,15,15
2023-08-07,13:14,51.53599,3.335437,61,6.2,292,15,15
2023-08-07,13:18,51.53951,3.34472,50,5.2,292,15,15
2023-08-07,13:25,51.54482,3.357318,44,5.4,292,15,15
2023-08-07,13:31,51.54975,3.369112,53,5.0,292,15,15
2023-08-07,13:33,51.55127,3.374452,60,6.8,292,15,15
2023-08-07,13:41,51.55583,3.39114,63,6.4,292,15,15
2023-08-07,13:44,51.55699,3.397667,91,5.2,292,15,15
2023-08-07,13:49,51.5577,3.408648,74,5.5,292,15,15
2023-08-07,13:55,51.56149,3.420855,57,4.8,292,15,15
2023-08-07,14:01,51.56536,3.43122,64,3.4,292,15,15
2023-08-07,14:05,51.56793,3.439035,73,5.4,292,15,15
2023-08-07,14:10,51.5718,3.448253,65,6.1,292,15,15
2023-08-07,14:14,51.57644,3.458085,61,3.3,292,15,15
2023-08-07,14:20,51.58332,3.46858,41,5.5,272,13,16
2023-08-07,14:22,51.58469,3.471632,68,6.5,272,13,16
2023-08-07,14:31,51.59103,3.49038,310,3.6,272,13,16
2023-08-07,14:33,51.59166,3.491005,51,5.5,272,13,16
2023-08-07,14:33,51.59166,3.491005,51,5.5,272,13,16
2023-08-07,14:33,51.59166,3.491005,51,5.5,272,13,16
2023-08-07,14:33,51.59166,3.491005,51,5.5,272,13,16
2023-08-07,14:33,51.59166,3.491005,51,5.5,272,13,16
2023-08-07,15:01,51.59915,3.5646,84,6.2,272,13,16
2023-08-07,15:01,51.59915,3.5646,84,6.2,272,13,16
2023-08-07,15:07,51.59888,3.582632,98,8.1,272,13,16
2023-08-07,15:15,51.60018,3.603093,75,6.3,272,13,16
2023-08-07,15:20,51.60115,3.61878,81,6.4,284,14,16
2023-08-07,15:24,51.60223,3.629695,69,6.8,284,14,16
2023-08-07,15:30,51.60641,3.643558,35,6.6,284,14,16
2023-08-07,15:35,51.6139,3.655688,40,6.6,284,14,16
2023-08-07,15:41,51.61889,3.667778,55,4.9,284,14,16
2023-08-07,15:45,51.62063,3.676325,124,6.0,284,14,16
2023-08-07,15:51,51.61933,3.678222,103,3.2,284,14,16
2023-08-07,15:55,51.61945,3.679762,259,0.4,284,14,16
2023-08-07,15:59,51.61853,3.684838,112,0.7,284,14,16
2023-08-07,16:05,51.61857,3.685128,38,1.4,284,14,16
2023-08-07,16:10,51.61775,3.689895,104,5.0,284,14,16
2023-08-07,16:16,51.61432,3.69866,131,4.2,284,14,16
2023-08-07,16:21,51.60855,3.709752,135,6.4,284,14,16
2023-08-07,16:25,51.60365,3.716438,139,6.6,284,14,16
2023-08-07,16:31,51.59507,3.720365,231,5.0,284,14,16
2023-08-07,16:35,51.59291,3.716943,219,1.3,284,14,16
2023-08-07,16:41,51.59284,3.716663,307,0.0,284,14,16
2023-08-07,16:47,51.59285,3.716682,307,0.0,284,14,16
2023-08-07,16:47,51.59285,3.716682,307,0.0,284,14,16
2023-08-07,16:53,51.59285,3.716722,160,0.1,284,14,16
2023-08-07,16:58,51.59283,3.716707,190,0.0,284,14,16
2023-08-07,17:04,51.59285,3.7167,190,0.0,284,14,16
2023-08-07,17:10,51.59286,3.716698,190,0.0,284,14,16
2023-08-07,17:16,51.59285,3.716702,190,0.0,284,14,16
2023-08-07,17:22,51.59283,3.716742,190,0.2,284,14,16
2023-08-07,17:25,51.59283,3.716745,190,0.0,261,13,17
2023-08-07,17:31,51.59289,3.716722,190,0.0,261,13,17
2023-08-07,17:36,51.59289,3.716715,328,0.2,261,13,17
2023-08-07,17:42,51.59286,3.716735,325,0.0,261,13,17
2023-08-07,17:45,51.59287,3.716727,325,0.0,261,13,17
2023-08-07,17:51,51.59286,3.716742,135,0.0,261,13,17
2023-08-07,17:54,51.59286,3.71678,317,0.0,261,13,17
2023-08-07,17:58,51.59292,3.716677,104,0.0,261,13,17
2023-08-07,18:02,51.59293,3.71669,77,0.0,261,13,17
2023-08-07,18:11,51.59297,3.716658,293,0.1,261,13,17
2023-08-07,18:11,51.59297,3.716658,293,0.1,261,13,17
2023-08-07,18:19,51.59286,3.716775,237,0.0,261,13,17
2023-08-07,18:25,51.59293,3.716735,237,0.0,261,13,17
2023-08-07,18:31,51.59293,3.716647,91,0.2,261,13,17
2023-08-07,18:34,51.59294,3.716755,268,0.1,261,13,17
2023-08-07,18:38,51.59286,3.716743,151,0.0,261,13,17
2023-08-07,18:46,51.59287,3.716702,150,0.1,261,13,17
2023-08-07,18:52,51.59295,3.716657,152,0.0,261,13,17
2023-08-07,18:55,51.59282,3.716733,168,0.0,261,13,17
2023-08-07,19:01,51.59285,3.716728,168,0.0,261,13,17
2023-08-07,19:07,51.59285,3.716727,168,0.0,261,13,17
2023-08-07,19:10,51.59285,3.716725,168,0.0,261,13,17
2023-08-07,19:16,51.59286,3.71672,241,0.0,261,13,17
2023-08-07,19:16,51.59286,3.71672,241,0.0,261,13,17
2023-08-07,19:24,51.59288,3.716715,14,0.0,261,13,17
2023-08-07,19:30,51.59289,3.71672,14,0.0,261,13,17
2023-08-07,19:36,51.59285,3.716722,14,0.0,261,13,17
2023-08-07,19:42,51.59285,3.716738,14,0.0,261,13,17
2023-08-07,19:48,51.59285,3.716733,14,0.0,261,13,17
2023-08-07,19:51,51.59286,3.716733,14,0.0,261,13,17
2023-08-07,19:57,51.59287,3.716737,14,0.0,261,13,17
2023-08-07,20:00,51.59287,3.716735,14,0.0,261,13,17
2023-08-07,20:06,51.59288,3.716735,14,0.0,261,13,17
2023-08-07,20:09,51.59285,3.716715,178,0.0,261,13,17
2023-08-07,20:17,51.59281,3.716755,80,0.0,254,17,17
2023-08-07,20:22,51.59285,3.716675,197,0.0,254,17,17
2023-08-07,20:22,51.59285,3.716675,197,0.0,254,17,17
2023-08-07,20:31,51.59284,3.716693,197,0.0,254,17,17
2023-08-07,20:37,51.59286,3.716695,197,0.0,254,17,17
2023-08-07,20:40,51.59288,3.716712,197,0.0,254,17,17
2023-08-07,20:46,51.59286,3.716727,197,0.0,254,17,17
2023-08-07,20:52,51.59291,3.716713,122,0.0,254,17,17
2023-08-07,20:55,51.59291,3.716745,122,0.0,254,17,17
2023-08-07,21:01,51.59292,3.716743,211,0.0,254,17,17
2023-08-07,21:07,51.59291,3.716763,211,0.0,254,17,17
2023-08-07,21:10,51.5929,3.716762,211,0.0,254,17,17
2023-08-07,21:16,51.59291,3.71676,211,0.0,254,17,17
2023-08-07,21:22,51.59291,3.716752,211,0.0,254,17,17
2023-08-07,21:25,51.59291,3.716755,211,0.0,254,17,17
2023-08-07,21:31,51.59292,3.716757,211,0.0,254,17,17
2023-08-07,21:37,51.59292,3.716758,19,0.0,254,17,17
2023-08-07,21:37,51.59292,3.716758,19,0.0,254,17,17
2023-08-07,21:45,51.5929,3.71674,19,0.0,254,17,17
2023-08-07,21:45,51.5929,3.71674,19,0.0,254,17,17
2023-08-07,21:57,51.59289,3.716738,19,0.0,254,17,17
