DateTime,Latitude,Longitude,Heading,Speed (kn),WindAngle,WindSpeed,WindTemperature
20230807_2203,51.59286,3.716737,19,0.0,254,17,17
20230807_2206,51.59287,3.716703,19,0.1,254,17,17
20230807_2212,51.59285,3.716698,19,0.0,254,17,17
20230807_2215,51.59285,3.716715,19,0.0,254,17,17
20230807_2221,51.59286,3.716708,19,0.0,254,17,17
20230807_2227,51.59289,3.716698,180,0.0,254,17,17
20230807_2233,51.59286,3.716675,180,0.0,254,17,17
20230807_2236,51.59286,3.716678,180,0.0,254,17,17
20230807_2242,51.59286,3.716723,180,0.0,254,17,17
20230807_2245,51.59287,3.716693,180,0.0,254,17,17
20230807_2251,51.59289,3.71671,180,0.0,254,17,17
20230807_2257,51.59289,3.716707,180,0.0,254,17,17
20230807_2303,51.59288,3.716693,180,0.0,254,17,17
20230807_2306,51.59288,3.716693,180,0.0,254,17,17
20230807_2312,51.59289,3.716695,180,0.0,254,17,17
20230807_2315,51.59295,3.716743,180,0.0,254,17,17
20230807_2321,51.59297,3.716702,177,0.0,271,15,17
20230807_2327,51.59296,3.716722,177,0.0,254,17,17
20230807_2333,51.59299,3.716715,177,0.0,271,15,17
20230807_2336,51.59298,3.716703,177,0.0,254,17,17
20230807_2342,51.59298,3.716693,177,0.0,254,17,17
20230807_2345,51.59289,3.716703,177,0.0,271,15,17
20230807_2351,51.59291,3.716702,47,0.0,271,15,17
20230807_2357,51.5929,3.716705,47,0.0,254,17,17
20230808_0003,51.5929,3.7167,47,0.1,271,15,17
20230808_0006,51.5929,3.716672,47,0.0,271,15,17
20230808_0012,51.59284,3.71667,148,0.1,271,15,17
20230808_0018,51.5928,3.716588,148,0.0,271,15,17
20230808_0018,51.5928,3.716588,148,0.0,254,17,17
20230808_0027,51.59286,3.716723,148,0.0,254,17,17
20230808_0033,51.59288,3.716685,104,0.0,271,15,17
20230808_0039,51.59284,3.716722,229,0.0,271,15,17
20230808_0042,51.59277,3.716712,229,0.1,271,15,17
20230808_0045,51.59279,3.716673,229,0.0,271,15,17
20230808_0051,51.59289,3.7167,229,0.2,271,15,17
20230808_0059,51.59308,3.716812,151,0.1,271,15,17
20230808_0103,51.59285,3.71672,151,0.0,271,15,17
20230808_0109,51.59293,3.716743,188,0.0,271,15,17
20230808_0112,51.59281,3.716713,188,0.2,271,15,17
20230808_0118,51.59286,3.716717,188,0.0,271,15,17
20230808_0124,51.59289,3.71672,188,0.0,271,15,17
20230808_0127,51.5929,3.716727,188,0.0,271,15,17
20230808_0133,51.59295,3.716738,188,0.0,271,15,17
20230808_0136,51.59289,3.716738,15,0.6,271,15,17
20230808_0138,51.59293,3.716735,188,0.0,271,15,17
20230808_0147,51.59283,3.716742,188,0.0,271,15,17
20230808_0153,51.59284,3.71673,122,0.0,271,15,17
20230808_0156,51.59287,3.716743,122,0.1,271,15,17
20230808_0202,51.59286,3.716725,122,0.0,271,15,17
20230808_0208,51.59281,3.716728,122,0.1,271,15,17
20230808_0211,51.59287,3.716737,122,0.0,271,15,17
20230808_0217,51.59287,3.716708,122,0.0,271,15,17
20230808_0223,51.59286,3.716738,122,0.1,317,13,17
20230808_0229,51.59288,3.716747,122,0.0,317,13,17
20230808_0232,51.59292,3.716743,122,0.0,317,13,17
20230808_0235,51.59291,3.716767,122,0.0,317,13,17
20230808_0241,51.59281,3.716708,122,0.0,317,13,17
20230808_0247,51.59292,3.716692,122,0.2,317,13,17
20230808_0253,51.59289,3.716733,157,0.2,317,13,17
20230808_0256,51.5928,3.716578,157,0.0,317,13,17
20230808_0302,51.59307,3.716773,113,0.0,271,15,17
20230808_0308,51.59305,3.716697,4,0.4,317,13,17
20230808_0311,51.59303,3.71677,4,0.3,317,13,17
20230808_0315,51.59308,3.71679,151,0.1,317,13,17
20230808_0320,51.59305,3.716815,151,0.3,317,13,17
20230808_0329,51.59282,3.71672,4,0.0,317,13,17
20230808_0335,51.59283,3.716737,99,0.0,271,15,17
20230808_0338,51.59287,3.716755,99,0.0,317,13,17
20230808_0344,51.59286,3.716728,99,0.0,317,13,17
20230808_0347,51.59286,3.716725,99,0.0,317,13,17
20230808_0353,51.59285,3.71672,99,0.0,317,13,17
20230808_0356,51.59285,3.71671,99,0.0,317,13,17
20230808_0405,51.59285,3.716713,99,0.0,317,13,17
20230808_0408,51.59285,3.716717,99,0.0,317,13,17
20230808_0408,51.59285,3.716717,99,0.0,317,13,17
20230808_0417,51.5929,3.7167,99,0.0,317,13,17
20230808_0423,51.59288,3.716692,99,0.0,317,13,17
20230808_0429,51.59287,3.716683,99,0.0,317,13,17
20230808_0432,51.59287,3.71668,99,0.0,317,13,17
20230808_0435,51.59287,3.71668,99,0.0,317,13,17
20230808_0444,51.59277,3.716785,99,0.0,317,13,17
20230808_0447,51.59289,3.716703,99,0.0,317,13,17
20230808_0453,51.59278,3.716845,199,0.1,317,13,17
20230808_0458,51.59292,3.716885,329,0.2,317,13,17
20230808_0458,51.59292,3.716885,329,0.2,317,13,17
20230808_0508,51.59294,3.716787,334,0.0,317,13,17
20230808_0511,51.59291,3.716837,334,0.0,317,13,17
20230808_0514,51.59295,3.716898,56,0.0,317,13,17
20230808_0521,51.59284,3.71672,51,0.1,302,14,16
20230808_0527,51.59286,3.716697,51,0.0,302,14,16
20230808_0533,51.59286,3.71669,51,0.0,302,14,16
20230808_0539,51.59286,3.71669,51,0.0,302,14,16
20230808_0546,51.59286,3.716692,51,0.0,302,14,16
20230808_0548,51.59286,3.716712,51,0.0,302,14,16
20230808_0555,51.59286,3.716713,51,0.0,302,14,16
20230808_0558,51.59286,3.716717,51,0.0,302,14,16
20230808_0604,51.59285,3.716715,51,0.0,302,14,16
20230808_0610,51.59286,3.71671,51,0.0,302,14,16
20230808_0616,51.5929,3.716767,51,0.0,302,14,16
20230808_0619,51.59289,3.716768,51,0.0,302,14,16
20230808_0622,51.59289,3.716767,51,0.0,302,14,16
20230808_0622,51.59289,3.716767,51,0.0,302,14,16
20230808_0634,51.59289,3.716753,51,0.0,302,14,16
20230808_0640,51.59289,3.71675,51,0.0,302,14,16
20230808_0646,51.59289,3.716747,51,0.0,302,14,16
20230808_0649,51.59289,3.716747,51,0.0,302,14,16
20230808_0655,51.59286,3.716733,51,0.0,302,14,16
20230808_0658,51.59288,3.716742,51,0.0,302,14,16
20230808_0704,51.59287,3.716737,51,0.0,302,14,16
20230808_0710,51.59287,3.716715,51,0.0,302,14,16
20230808_0713,51.59287,3.716713,51,0.0,302,14,16
20230808_0722,51.59284,3.716742,339,0.0,302,14,16
20230808_0725,51.59286,3.71672,339,0.0,302,14,16
20230808_0731,51.59287,3.71671,339,0.0,302,14,16
20230808_0734,51.5929,3.7167,339,0.0,302,14,16
20230808_0740,51.59289,3.716703,339,0.0,302,14,16
20230808_0743,51.59289,3.716702,339,0.0,302,14,16
20230808_0752,51.59289,3.716702,339,0.0,302,14,16
20230808_0755,51.59288,3.716698,339,0.0,302,14,16
20230808_0758,51.59288,3.716698,339,0.0,302,14,16
20230808_0804,51.59288,3.71671,339,0.0,302,14,16
20230808_0810,51.59286,3.716717,339,0.0,302,14,16
20230808_0816,51.59286,3.716718,339,0.1,302,14,16
20230808_0822,51.59284,3.716703,339,0.1,302,14,16
20230808_0822,51.59284,3.716703,339,0.1,302,14,16
20230808_0830,51.59289,3.716712,352,0.5,302,14,16
20230808_0836,51.59296,3.716708,18,0.0,302,14,16
20230808_0840,51.59296,3.716712,45,0.0,302,14,16
20230808_0840,51.59296,3.716712,45,0.0,287,16,16
20230808_0850,51.59293,3.716715,45,0.0,287,16,16
20230808_0853,51.5929,3.716733,45,0.0,287,16,16
20230808_0900,51.59292,3.7167,159,0.0,287,16,16
20230808_0904,51.59281,3.71659,163,0.5,287,16,16
20230808_0906,51.59301,3.716732,58,0.0,287,16,16
20230808_0915,51.59291,3.716763,59,0.0,287,16,16
20230808_0921,51.59292,3.71675,31,0.0,287,16,16
20230808_0925,51.59281,3.716713,83,1.3,287,16,16
20230808_0931,51.59291,3.716768,83,0.0,287,16,16
20230808_0934,51.59294,3.716757,83,0.0,287,16,16
20230808_0940,51.59285,3.71672,83,0.0,287,16,16
20230808_0943,51.59285,3.716715,83,0.0,287,16,16
20230808_0949,51.59288,3.716727,83,0.0,287,16,16
20230808_0949,51.59288,3.716727,83,0.0,287,16,16
20230808_0959,51.59289,3.716738,189,0.0,287,16,16
20230808_1005,51.59289,3.716745,189,0.1,287,16,16
20230808_1011,51.59297,3.716747,189,0.0,287,16,16
20230808_1014,51.59293,3.716758,189,0.0,287,16,16
20230808_1020,51.59297,3.716693,189,0.0,287,16,16
20230808_1026,51.59293,3.716682,189,0.0,287,16,16
20230808_1031,51.59291,3.716685,246,0.0,287,16,16
20230808_1035,51.59289,3.716687,246,0.0,287,16,16
20230808_1041,51.59285,3.716692,246,0.0,287,16,16
20230808_1047,51.59285,3.716693,246,0.0,287,16,16
20230808_1050,51.59286,3.716695,33,0.0,287,16,16
20230808_1053,51.59286,3.71669,33,0.0,287,16,16
20230808_1102,51.59286,3.716745,33,0.0,287,16,16
20230808_1108,51.59288,3.716658,33,0.0,287,16,16
20230808_1111,51.59286,3.716738,97,0.0,287,16,16
20230808_1117,51.5929,3.716717,282,0.0,287,16,16
20230808_1117,51.5929,3.716717,282,0.0,287,16,16
20230808_1126,51.59286,3.716708,131,0.0,276,17,16
20230808_1132,51.59287,3.716715,131,0.0,276,17,16
20230808_1135,51.59288,3.716723,131,0.0,276,17,16
20230808_1141,51.59286,3.716728,131,0.0,276,17,16
20230808_1144,51.59286,3.716727,131,0.0,276,17,16
20230808_1150,51.59286,3.716722,131,0.0,276,17,16
20230808_1156,51.59288,3.716722,131,0.0,276,17,16
20230808_1159,51.59291,3.716723,131,0.0,276,17,16
20230808_1208,51.5929,3.71673,131,0.0,276,17,16
20230808_1211,51.59289,3.716715,131,0.0,276,17,16
20230808_1211,51.5931222,3.7165976,-1,2.0,-1,17,16
20230808_1211,51.5945352,3.7193441,-1,2.0,-1,17,16
20230808_1211,51.5949351,3.7219620,-1,2.0,-1,17,16
20230808_1211,51.5972278,3.7221336,-1,2.0,-1,17,16
20230808_1211,51.5983207,3.7207603,-1,2.0,-1,17,16
20230808_1211,51.6030123,3.7301588,-1,2.0,-1,17,16
20230808_1211,51.6069837,3.7446642,-1,2.0,-1,17,16
20230808_1211,51.6139661,3.7774086,-1,2.0,-1,17,16
20230808_1211,51.6189758,3.8072777,-1,2.0,-1,17,16
20230808_1211,51.6252637,3.8321686,-1,2.0,-1,17,16
20230808_1211,51.6346407,3.8610077,-1,2.0,-1,17,16
20230808_1211,51.6473179,3.8677025,-1,2.0,-1,17,16
20230808_1211,51.6661673,3.8579178,-1,2.0,-1,17,16
20230808_1211,51.6720229,3.8477898,-1,2.0,-1,17,16
20230808_1211,51.6820288,3.8246155,-1,2.0,-1,17,16
20230808_1211,51.6791550,3.8210106,-1,2.0,-1,17,16
20230808_1211,51.6801129,3.8177490,-1,2.0,-1,17,16
20230808_1211,51.6809644,3.8141441,-1,2.0,-1,17,16
20230808_1211,51.6839446,3.8124275,-1,2.0,-1,17,16
20230808_1211,51.6812838,3.8079643,-1,2.0,-1,17,16
20230808_1211,51.6847960,3.7986946,-1,2.0,-1,17,16
20230808_1211,51.6802194,3.7976646,-1,2.0,-1,17,16
20230808_1211,51.6827738,3.7878799,-1,2.0,-1,17,16
20230808_1211,51.6784099,3.7878799,-1,2.0,-1,17,16
20230808_1211,51.6800065,3.7791252,-1,2.0,-1,17,16
20230808_1211,51.6738326,3.7762070,-1,2.0,-1,17,16
20230808_1211,51.6748971,3.7672806,-1,2.0,-1,17,16
20230808_1211,51.6711712,3.7652206,-1,2.0,-1,17,16
20230808_1211,51.6735132,3.7561226,-1,2.0,-1,17,16
