DateTime,Latitude,Longitude,Heading,Speed (kn),WindAngle,WindSpeed,WindTemperature
20230807_2202,51.59275,3.716793,132,0.0,254,17,17
20230807_2205,51.59274,3.716788,18,0.0,254,17,17
20230807_2211,51.59275,3.716788,18,0.0,254,17,17
20230807_2217,51.59275,3.716783,353,0.0,254,17,17
20230807_2223,51.59275,3.716783,353,0.0,254,17,17
20230807_2226,51.59275,3.716782,353,0.0,254,17,17
20230807_2232,51.59274,3.716793,15,0.0,254,17,17
20230807_2232,51.59274,3.716793,15,0.0,254,17,17
20230807_2238,51.59275,3.716798,15,0.0,254,17,17
20230807_2247,51.59275,3.7168,307,0.0,254,17,17
20230807_2253,51.59275,3.716802,307,0.0,254,17,17
20230807_2256,51.59275,3.716793,307,0.0,271,15,17
20230807_2302,51.59275,3.716803,307,0.0,271,15,17
20230807_2305,51.59275,3.716787,307,0.0,271,15,17
20230807_2311,51.59275,3.716797,307,0.0,271,15,17
20230807_2314,51.59274,3.716795,307,0.0,271,15,17
20230807_2323,51.59274,3.716797,307,0.0,254,17,17
20230807_2326,51.59274,3.716797,307,0.0,271,15,17
20230807_2332,51.59275,3.716787,212,0.0,254,17,17
20230807_2335,51.59276,3.716787,212,0.0,254,17,17
20230807_2341,51.59275,3.716795,329,0.0,271,15,17
20230807_2347,51.59275,3.716795,207,0.0,254,17,17
20230807_2353,51.59275,3.71679,175,0.0,271,15,17
20230807_2356,51.59275,3.716788,175,0.0,271,15,17
20230808_0002,51.59275,3.716787,264,0.0,271,15,17
20230808_0005,51.59273,3.716782,272,0.0,254,17,17
20230808_0011,51.59274,3.716788,272,0.0,271,15,17
20230808_0017,51.59274,3.716797,324,0.0,271,15,17
20230808_0023,51.59275,3.716793,324,0.0,271,15,17
20230808_0029,51.59273,3.716795,324,0.0,271,15,17
20230808_0032,51.59275,3.716793,324,0.0,271,15,17
20230808_0035,51.59275,3.716807,324,0.0,271,15,17
20230808_0041,51.59275,3.716797,14,0.0,271,15,17
20230808_0044,51.59275,3.716798,14,0.0,271,15,17
20230808_0053,51.59274,3.716793,14,0.0,271,15,17
20230808_0056,51.59275,3.716785,14,0.0,271,15,17
20230808_0102,51.59275,3.716797,14,0.0,271,15,17
20230808_0105,51.59275,3.716808,337,0.0,271,15,17
20230808_0111,51.59274,3.7168,277,0.0,271,15,17
20230808_0117,51.59275,3.7168,250,0.0,271,15,17
20230808_0123,51.59275,3.716787,250,0.0,271,15,17
20230808_0129,51.59276,3.716783,250,0.0,254,17,17
20230808_0132,51.59277,3.716795,250,0.0,271,15,17
20230808_0135,51.59276,3.71679,300,0.0,271,15,17
20230808_0141,51.59276,3.716793,255,0.0,271,15,17
20230808_0144,51.59276,3.716785,255,0.0,271,15,17
20230808_0153,51.59275,3.716807,306,0.0,317,13,17
20230808_0156,51.59275,3.716798,306,0.0,317,13,17
20230808_0202,51.59275,3.716785,341,0.0,317,13,17
