DateTime,Latitude,Longitude,Heading,Speed (kn),WindAngle,WindSpeed,WindTemperature
20230807_1059,51.34896,1.6328,138,7.7,304,16,12
20230807_1103,51.342,1.642797,138,7.3,304,16,12
20230807_1109,51.33228,1.6555,136,7.0,304,16,12
20230807_1113,51.32581,1.662863,140,5.4,304,16,12
20230807_1119,51.31903,1.672593,128,6.0,251,7,16
20230807_1125,51.31165,1.685297,139,6.5,251,7,16
20230807_1130,51.30731,1.691952,135,4.3,251,7,16
20230807_1134,51.30288,1.698492,147,5.1,251,7,16
20230807_1139,51.29843,1.704302,127,3.4,251,7,16
20230807_1145,51.29449,1.711635,135,3.7,251,7,16
20230807_1149,51.29085,1.717677,135,3.3,251,7,16
20230807_1152,51.28897,1.720755,111,3.4,251,7,16
20230807_1200,51.28552,1.733535,98,4.6,251,7,16
20230807_1205,51.2835,1.74681,104,4.2,251,7,16
20230807_1209,51.28167,1.753578,114,5.9,251,7,16
20230807_1215,51.27492,1.76865,119,6.7,251,7,16
20230807_1219,51.27106,1.777128,122,6.0,262,8,16
20230807_1225,51.26445,1.792267,123,7.3,262,8,16
20230807_1232,51.25878,1.807473,112,5.2,262,8,16
20230807_1233,51.25735,1.811363,109,6.0,262,8,16
20230807_1242,51.24379,1.826408,169,9.3,262,8,16
20230807_1245,51.2369,1.831038,159,8.2,262,8,16
20230807_1252,51.22797,1.844228,119,6.4,262,8,16
20230807_1255,51.22484,1.852518,129,7.2,262,8,16
20230807_1301,51.21952,1.867357,114,7.2,262,8,16
20230807_1305,51.21688,1.87684,117,5.9,262,8,16
20230807_1311,51.21281,1.891283,109,6.0,262,8,16
20230807_1316,51.20847,1.905412,116,7.3,262,8,16
20230807_1319,51.20536,1.915998,113,8.4,262,10,16
20230807_1326,51.19893,1.933997,125,6.6,262,10,16
20230807_1331,51.19071,1.94655,138,8.3,262,10,16
20230807_1335,51.18491,1.953815,134,7.8,262,10,16
20230807_1342,51.17395,1.968792,131,8.0,262,10,16
20230807_1345,51.16885,1.976537,147,6.5,262,10,16
20230807_1349,51.16383,1.9846,119,6.3,262,10,16
20230807_1355,51.15583,2.00024,134,7.3,262,10,16
20230807_1402,51.14772,2.016917,101,8.7,262,10,16
20230807_1406,51.14434,2.02908,90,8.6,262,10,16
20230807_1411,51.1406,2.046825,109,8.3,262,10,16
20230807_1416,51.13716,2.061973,104,7.8,249,17,17
20230807_1421,51.13131,2.079738,128,7.6,249,17,17
20230807_1426,51.12504,2.092127,136,8.0,249,17,17
20230807_1431,51.11686,2.103315,138,6.9,249,17,17
20230807_1436,51.10828,2.113853,157,6.5,249,17,17
20230807_1440,51.10047,2.122698,149,7.7,249,17,17
20230807_1445,51.09252,2.135677,133,8.2,249,17,17
20230807_1452,51.08222,2.15328,127,9.7,249,17,17
20230807_1455,51.07638,2.161603,138,8.6,249,17,17
20230807_1500,51.06797,2.173108,125,7.7,249,17,17
20230807_1505,51.06159,2.188083,121,8.3,249,17,17
20230807_1511,51.05964,2.210963,86,8.1,249,17,17
20230807_1515,51.05989,2.226315,86,9.1,249,17,17
20230807_1521,51.06025,2.248387,86,7.4,260,15,18
20230807_1525,51.06086,2.261852,86,7.6,260,15,18
20230807_1529,51.06118,2.275035,87,6.9,260,15,18
20230807_1536,51.06154,2.295325,88,7.7,260,15,18
20230807_1542,51.06217,2.313602,82,6.5,260,15,18
20230807_1546,51.06325,2.325302,85,6.5,260,15,18
20230807_1552,51.0637,2.341738,93,5.9,260,15,18
20230807_1556,51.06047,2.351402,148,5.2,260,15,18
20230807_1600,51.05836,2.351823,161,3.6,260,15,18
20230807_1605,51.05373,2.361458,133,4.7,260,15,18
20230807_1611,51.04766,2.36861,141,4.9,260,15,18
20230807_1618,51.04327,2.374087,219,1.8,260,15,18
20230807_1620,51.04337,2.37273,272,1.3,260,15,18
20230807_1623,51.04346,2.372448,352,0.0,260,15,18
20230807_1629,51.04345,2.372432,352,0.0,260,15,18
20230807_1635,51.04345,2.372442,352,0.0,260,15,18
20230807_1641,51.04345,2.372448,352,0.0,260,15,18
20230807_1647,51.04345,2.372438,352,0.0,260,15,18
20230807_1652,51.04346,2.372415,315,0.0,260,15,18
20230807_1656,51.04346,2.372422,315,0.0,260,15,18
20230807_1659,51.04346,2.372415,315,0.0,260,15,18
